episodes,avg_vel,dist,success,fall,backward,sideways,time_limit,time_taken
1,-0.028522024764703224,-0.015247220883369732,0,0,0,1,0,0.6649172306060791
2,-0.03834141459398553,-0.03978195365305617,0,0,0,1,0,0.7988021373748779
3,-0.0422140320932081,-0.031979741362461955,0,0,0,1,0,0.7001049518585205
4,-0.04495618421091166,-0.046463318659427676,0,0,0,1,0,0.9327478408813477
5,-0.0457995482012511,-0.05216501729192413,0,0,0,1,0,0.631481409072876
6,-0.041516979924195466,-0.041605398316208894,0,0,0,1,0,0.7299754619598389
7,-0.04872764319320877,0.021271339569373826,0,0,1,0,0,1.0130717754364014
8,-0.04324791526481942,-0.05236110631493272,0,0,0,1,0,0.7369506359100342
9,-0.02880250661689819,-0.023504221138630606,0,0,0,1,0,0.5904409885406494
10,-0.019572552001432025,-0.033307276738153264,0,0,0,1,0,0.6706254482269287
11,-0.042233597832301094,-0.03894930251553124,0,0,0,1,0,0.8728611469268799
12,-0.03463109149211516,-0.002793310781321587,0,0,0,1,0,0.8713350296020508
13,-0.05396792907464851,-0.029255005929442652,0,0,0,1,0,0.6423618793487549
14,-0.04788149595185761,-0.03289520857750324,0,0,0,1,0,0.7204716205596924
15,-0.028722421705622326,-0.034713475643687666,0,0,0,1,0,0.6918799877166748
16,-0.036571232305840896,-0.03344307518378369,0,0,0,1,0,0.8629798889160156
17,-0.04824068088127459,-0.021244723122053274,0,0,0,1,0,0.569021463394165
18,-0.04780230970241224,-0.013989334754661171,0,0,0,1,0,3.256316661834717
19,-0.0019116244397111054,-0.0012808303269769804,0,0,0,1,0,14.331827640533447
20,-0.001755895771253025,-0.04101809056989858,0,0,0,1,0,13.20717716217041
